,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Spent,Family_Size,Is_Parent
78,2,1,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,18,2,0
79,0,1,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,692,2,0
80,0,0,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,165,2,1
81,0,1,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,16,3,1
82,2,1,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,79,3,1
83,1,1,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,2,0
84,0,0,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,778,1,0
85,0,1,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,56,4,1
86,1,1,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,151,4,1
87,0,0,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,372,2,1
88,0,1,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1366,2,0
89,0,1,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,194,3,1
93,1,0,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,32,2,1
94,1,1,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,43,3,1
95,0,1,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,45,3,1
96,0,0,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,606,2,1
97,0,0,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,63,3,1
98,2,1,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,2,0
99,1,1,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,410,2,0
100,2,0,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,72,2,1
101,1,0,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,2,1
102,0,1,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1169,3,1
103,1,1,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,1120,2,0
104,0,1,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1097,2,0
105,2,1,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,29,3,1
106,0,1,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,187,4,1
107,0,1,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,910,4,1
108,0,0,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,145,2,1
109,1,1,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,850,2,0
110,0,1,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,3,1
111,1,0,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1820,1,0
112,1,1,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,608,3,1
113,0,0,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,730,1,0
114,1,1,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,551,3,1
115,0,0,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,114,3,1
116,0,1,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1724,2,0
117,2,1,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,577,3,1
118,2,1,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,81,4,1
119,0,1,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33,3,1
120,1,1,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,3,1
121,1,0,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,80,2,1
122,1,1,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,30,4,1
123,0,0,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,43,2,1
124,0,0,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1135,1,0
125,2,1,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,559,2,0
126,0,0,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1923,1,0
127,1,1,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,90,4,1
129,1,1,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,661,4,1
130,0,1,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,463,3,1
131,1,0,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,632,3,1
132,0,1,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,725,2,0
134,1,1,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,279,4,1
135,1,1,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,1482,2,0
136,2,0,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,29,2,1
137,1,1,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,106,5,1
138,1,0,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,49,3,1
139,1,0,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,38,3,1
140,1,0,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,2077,1,0
141,1,1,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1053,3,1
142,0,1,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,1385,2,0
143,1,0,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,871,2,1
144,0,1,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,312,3,1
145,0,1,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,877,4,1
146,0,1,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,68,3,1
147,0,1,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,22,3,1
148,2,1,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,211,5,1
149,1,1,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,127,2,0
150,1,1,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,459,4,1
151,0,1,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,460,3,1
152,2,1,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,429,3,1
153,0,0,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,89,2,1
154,1,1,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1021,3,1
155,0,1,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,1381,2,0
156,0,0,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,306,2,1
157,0,0,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,18,4,1
158,0,1,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,162,3,1
159,0,0,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,1231,1,0
160,1,0,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,13,4,1
161,1,1,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,1706,2,0
162,0,1,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,121,3,1
163,1,0,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,1293,1,0
164,1,1,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,1608,3,1
165,0,1,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,88,5,1
166,0,0,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,421,1,0
167,0,0,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,259,1,0
168,0,0,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,1117,1,0
169,0,1,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,89,4,1
170,0,1,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,36,4,1
171,0,1,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,57,3,1
172,0,1,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,148,4,1
173,1,1,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,93,4,1
174,0,0,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,119,2,1
175,1,1,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,1835,3,1
176,1,1,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,1318,2,0
177,1,1,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,45,4,1
178,0,1,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,10,5,1
179,2,1,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,2,0
180,1,1,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,191,3,1
181,2,1,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,57,3,1
182,1,1,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,1033,2,0
183,1,1,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,66,3,1
184,2,1,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,43,2,0
185,0,1,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,50,3,1
186,1,0,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,39,2,1
187,0,1,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,608,3,1
188,0,1,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,1581,2,0
189,1,1,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,68,4,1
190,2,1,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,80,3,1
191,1,1,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,1282,2,0
192,2,0,36640.0,1,0,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,0,65,2,1
193,0,1,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,91,3,1
194,0,1,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,315,4,1
195,0,1,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,31,4,1
196,1,1,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,834,2,0
197,0,1,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,1600,2,0
198,0,1,86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,1270,2,0
199,1,0,46854.0,1,1,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,263,3,1
200,0,0,69142.0,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,535,2,1
201,0,0,75922.0,0,0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,1295,1,0
202,0,0,63693.0,0,1,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,1150,2,1
203,1,1,102160.0,0,0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,1240,2,0
204,1,0,40637.0,1,1,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,38,3,1
205,1,0,18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,35,1,0
206,0,1,29604.0,1,0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,53,3,1
207,1,0,48721.0,1,1,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,293,3,1
208,0,1,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,65,3,1
209,0,0,64497.0,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,1804,2,1
210,0,1,46097.0,0,1,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,241,3,1
211,0,1,77972.0,0,0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,1101,2,0
212,1,1,44377.0,1,1,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,264,4,1
213,1,1,46014.0,1,1,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,541,4,1
214,0,1,70951.0,0,0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,1198,2,0
215,0,1,41443.0,1,0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,482,3,1
216,2,0,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,17,4,1
217,1,1,83790.0,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,1615,2,0
218,1,0,44551.0,0,1,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,285,2,1
219,0,1,69508.0,1,0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0,1135,3,1
220,2,1,45204.0,1,0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0,114,3,1
221,0,1,72460.0,0,0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0,1047,2,0
222,1,1,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,714,4,1
223,1,1,30732.0,1,0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0,185,3,1
224,0,0,63887.0,0,1,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0,1245,2,1
225,0,1,42011.0,1,0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0,189,3,1
226,0,1,51369.0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0,576,3,1
227,0,0,51537.0,0,1,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,1103,2,1
228,1,1,79930.0,0,0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0,1753,2,0
229,1,1,34320.0,1,0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0,17,3,1
230,0,0,37070.0,1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,1,433,3,1
231,2,0,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,1588,2,1
232,0,1,38590.0,1,0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,0,22,3,1
233,0,0,15033.0,0,0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,0,19,1,0
234,1,1,62745.0,0,1,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,0,1117,3,1
235,2,1,22212.0,1,0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,69,3,1
236,1,1,23661.0,1,0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,23,3,1
237,1,0,79761.0,0,1,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0,605,2,1
238,0,0,7500.0,1,0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,0,57,2,1
239,2,0,60182.0,0,1,23,8,0,5,7,0,2,1,1,0,2,4,0,0,0,0,0,0,0,22,2,1
